title,platform,file_id,direct_url
Bomberman 64: The Second Attack,N64,1f0SkU4GNhiudhjoTTj0xxesxEcC7KCpH,https://drive.google.com/uc?export=download&id=1f0SkU4GNhiudhjoTTj0xxesxEcC7KCpH
Bomberman 64,N64,1nKLVRGYHbvV39sf9lNSXIlfSKW3b7UN4,https://drive.google.com/uc?export=download&id=1nKLVRGYHbvV39sf9lNSXIlfSKW3b7UN4
Diddy Kong Racing,N64,1fEACzoC-0ee_Qb9uNW6FfccBFVNtvlB6,https://drive.google.com/uc?export=download&id=1fEACzoC-0ee_Qb9uNW6FfccBFVNtvlB6
Donkey Kong 64,N64,1LhZBQtcOrgfvoQ7rv52HnR9RVkxEfdMw,https://drive.google.com/uc?export=download&id=1LhZBQtcOrgfvoQ7rv52HnR9RVkxEfdMw
Excitebike 64,N64,1zwEQThO30A9g3uHfNT8Q6lbQw3k5v3MP,https://drive.google.com/uc?export=download&id=1zwEQThO30A9g3uHfNT8Q6lbQw3k5v3MP
F-Zero X,N64,1mPSPCJykdd5xzLUYb9XPZxrU2R4YhuAb,https://drive.google.com/uc?export=download&id=1mPSPCJykdd5xzLUYb9XPZxrU2R4YhuAb
Kirby 64: The Crystal Shards,N64,1sxAeUnF6-yZ7ASEg2JyjOCef8bttPHZe,https://drive.google.com/uc?export=download&id=1sxAeUnF6-yZ7ASEg2JyjOCef8bttPHZe
Mario Golf,N64,11MbxVV-tM5tgqFXK2A1F3ZJG5OuRyasT,https://drive.google.com/uc?export=download&id=11MbxVV-tM5tgqFXK2A1F3ZJG5OuRyasT
Mario Kart 64,N64,1ip738lmOMCAXcwrJVmL_ILbMQ-OUB78E,https://drive.google.com/uc?export=download&id=1ip738lmOMCAXcwrJVmL_ILbMQ-OUB78E
Mario Party 2,N64,1Oo_b-oTYQQOtImHKJUuxTaTanmg5UgQj,https://drive.google.com/uc?export=download&id=1Oo_b-oTYQQOtImHKJUuxTaTanmg5UgQj
Mario Party 3,N64,1qlOcNczh0FOY7NgGe7qBTVhvWXUaOkbd,https://drive.google.com/uc?export=download&id=1qlOcNczh0FOY7NgGe7qBTVhvWXUaOkbd
Mario Party,N64,1cYkR8P7VMTT3vTxe9FMhzg1cZ_5RCbK-,https://drive.google.com/uc?export=download&id=1cYkR8P7VMTT3vTxe9FMhzg1cZ_5RCbK-
Mario Tennis,N64,13-Z8yCKFYccCckTtCyJMEauPYTXfNb42,https://drive.google.com/uc?export=download&id=13-Z8yCKFYccCckTtCyJMEauPYTXfNb42
Mega Man 64,N64,1xp-WbsgCocywECnB1xmYgDtgTzUMl2rg,https://drive.google.com/uc?export=download&id=1xp-WbsgCocywECnB1xmYgDtgTzUMl2rg
Mortal Kombat Trilogy,N64,1u6Fo6VRnZcDpFRoPeziAXlNGVNYeJ3Nv,https://drive.google.com/uc?export=download&id=1u6Fo6VRnZcDpFRoPeziAXlNGVNYeJ3Nv
Paper Mario,N64,1f4CO0odsu772DAXIG3_bFpDu7lbvSPlJ,https://drive.google.com/uc?export=download&id=1f4CO0odsu772DAXIG3_bFpDu7lbvSPlJ
Pokémon Puzzle League,N64,1jxPZZL4msLF8mRMYRLWH4UZX-s3Qi-85,https://drive.google.com/uc?export=download&id=1jxPZZL4msLF8mRMYRLWH4UZX-s3Qi-85
Pokémon Snap,N64,1jQc5pC6EBrgt1NvT1GNKcR9fK1sUKPy9,https://drive.google.com/uc?export=download&id=1jQc5pC6EBrgt1NvT1GNKcR9fK1sUKPy9
Pokémon Stadium 2,N64,1vSexm9nh1GfmkSjyyQ32_y_LFHqq7sVW,https://drive.google.com/uc?export=download&id=1vSexm9nh1GfmkSjyyQ32_y_LFHqq7sVW
Pokémon Stadium,N64,1sEGg7zO8tbw9zx-IStmE9UsYu6LrWLr0,https://drive.google.com/uc?export=download&id=1sEGg7zO8tbw9zx-IStmE9UsYu6LrWLr0
Star Fox 64,N64,1_EuZxBE0n1Z6pTxgq7gkMJSdbxjgU0n8,https://drive.google.com/uc?export=download&id=1_EuZxBE0n1Z6pTxgq7gkMJSdbxjgU0n8
Super Mario 64,N64,1thqN7ItBx9uIxuwqE_kqt5Dnd7UNnc0h,https://drive.google.com/uc?export=download&id=1thqN7ItBx9uIxuwqE_kqt5Dnd7UNnc0h
Super Smash Bros.,N64,1fSWRlxlN2fb1VcalEPbYMGtyvoW4iMwL,https://drive.google.com/uc?export=download&id=1fSWRlxlN2fb1VcalEPbYMGtyvoW4iMwL
The Legend of Zelda: Majora's Mask,N64,1yfqiupubrAs49lxJOSBOs8_csG_ojTef,https://drive.google.com/uc?export=download&id=1yfqiupubrAs49lxJOSBOs8_csG_ojTef
The Legend of Zelda: Ocarina of Time,N64,1E7N2n7OKyco_GzJQS2jSwF959AOuXLeX,https://drive.google.com/uc?export=download&id=1E7N2n7OKyco_GzJQS2jSwF959AOuXLeX
Yoshi's Story,N64,1eDoCIFy2OiF9ZAe26wNEJVHO_z6G5Gxl,https://drive.google.com/uc?export=download&id=1eDoCIFy2OiF9ZAe26wNEJVHO_z6G5Gxl
title,platform,file_id,direct_url
Balloon Fight,NES,1EGAw8HJbXPy4-6OedP4yPyhD3kVIt3EX,https://drive.google.com/uc?export=download&id=1EGAw8HJbXPy4-6OedP4yPyhD3kVIt3EX
Bomberman,NES,1zHoJKtnjLKsip5y1-q9PCXzb0hotuXHv,https://drive.google.com/uc?export=download&id=1zHoJKtnjLKsip5y1-q9PCXzb0hotuXHv
Donkey Kong Jr.,NES,1yJJifFSriNcfAfC6dZK-BIVch-DFvIPy,https://drive.google.com/uc?export=download&id=1yJJifFSriNcfAfC6dZK-BIVch-DFvIPy
Donkey Kong,NES,1yQ5kg2KcojTTDPwzF3EydiFAN2Kysf41,https://drive.google.com/uc?export=download&id=1yQ5kg2KcojTTDPwzF3EydiFAN2Kysf41
Dr. Mario,NES,1FeIMZywmoc3yPVH9B-jF-IeqvOANr1sW,https://drive.google.com/uc?export=download&id=1FeIMZywmoc3yPVH9B-jF-IeqvOANr1sW
Duck Hunt,NES,1x8B3mPbhb0NKh9pw8KkHN2xU4wnFr3Km,https://drive.google.com/uc?export=download&id=1x8B3mPbhb0NKh9pw8KkHN2xU4wnFr3Km
Excitebike,NES,1guYlPZcSQpq0Kqvt7cWcDTcf7sVwep_P,https://drive.google.com/uc?export=download&id=1guYlPZcSQpq0Kqvt7cWcDTcf7sVwep_P
